,Finanzierungsart,Year,Melder,Sektor,Annex2,Empfängerland,ODA-Art,Projektbeschreibung,Organisation,Art der Organisation,ProjectNumber,Zusage,Auszahlung,ISO
3674,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,43010.0,No,Afghanistan,Bil ODA,,"Multilateral Organisations, Other",Multilateral Organisations,201540681,4847255.0,2254537.0,AFG
3675,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,15111.0,No,Afghanistan,Bil ODA,,"Multilateral Organisations, Other",Multilateral Organisations,201767144,90181490.0,90181490.0,AFG
3676,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,15114.0,Yes,"Africa, regional",Bil ODA,Develop the capacity of African tax and financial crime investigators through training on the key skills and techniques required in financial investigations to effectively fight financial crimes and stem illicit financial flows-provide an increased awareness of the risks to countries posed by corruption and money laundering and the ability to combat these offences,OECD Development Centre ,Other multilateral institutions,201779800,270544.0,33818.0,
3677,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,25010.0,Yes,"Africa, regional",Bil ODA,Support for the NEPAD Project Preparatory Facility (NEPAD-IPPF) II,African Development Bank,Regional Development Banks,201569045,11272686.0,11272686.0,
3678,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,74020.0,Yes,"Africa, regional",Bil ODA,"This project seeks to develop policies, systems and partnerships required for a coherent and integrated implementation of the 2030 Agenda, consisting of the Sustainable Development Goals, the Paris Agreement and the Sendai Framework, at the country level. The proposal supports and is part of Strategic Objectives 2 and 3 of the United Nations Office for Disaster Risk Reduction 2016-2021 Strategic Framework and 2016-2019 Work Programme.",United Nations Office for Disaster Reduction,"United Nations (UN) agency, fund or commission",201718683,1057265.0,1057265.0,
3679,"Beitrag zu multilateralen Programmen, Fonds und Trusts (bil. ODA)",2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,25010.0,Yes,"Africa, regional",Bil ODA,"ISCA will complement existing efforts (e.g. IDA PSW, CMAW, PPIAF, GIF), provide support for enhancing impact and unlocking sustainable and inclusive private sector investment opportunities in Africa.",International Finance Corporation ,World Bank Group (WB),201768852,11272686.0,11272686.0,
3680,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,25010.0,Yes,"America, regional",Bil ODA,Cooperation between countries of the Andes contributed economically and with respect to social and ecological dimensions to sustainable management and use of mining,Economic Commission for Latin America and the Caribbean,"United Nations (UN) agency, fund or commission",201322312,0.0,41032.0,
3681,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,41030.0,Yes,"America, regional",Bil ODA,The project will contribute to the reduction of climate change-related risks to coastal populations in small island developing States (SIDS) (overall objective).,Caribbean Community Secretariat ,Other multilateral institutions,201297621,0.0,1934023.0,
3682,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,43010.0,Yes,"America, regional",Bil ODA,"The accompanying measure will support the identification, preparation and selection of suitable individual investment projects for the climate programme 2010 CAF in the subsector energy efficiency.",Development Bank of Latin America,Regional Development Banks,201370436,0.0,126254.0,
3683,Beitrag für Vorhaben und sonstiges (bil. ODA),2017,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,13020.0,Yes,"America, regional",Bil ODA,The project aims at improving the population's knowledge and behaviour regarding the effective prevention of STDs incl. AIDS/HIV and insuring provision of affordable and high-quality contraceptives.,Caribbean Community Secretariat ,Other multilateral institutions,201266907,0.0,191621.0,
