"DONOR","RECIPIENT","SECTOR","FLOW","CHANNEL","AMOUNTTYPE","FLOWTYPE","AIDTYPE","YEAR","Donor Name","Donor Agency","OECD ID","Donor Project ID","Recipient Name","Region","Income Group","Channel of Delivery Code","Channel of Delivery Name","Category Code","Category Name","FinanceType Code","FinanceType Name","BiMulti Code","Type of Aid Code","Type of Aid Name","Short Description","Project title","Purpose Code","Purpose Name","Sector","Long Description","SDG Focus","Gender equality","Environment","PDGG","Trade Development","RMNCH","DRR","Nutrition","Disability","Biodiversity","Climate Mitigation","Climate Adaptation","Desertification","Amount","Amount Type","Amount Tied USD million","Amount Untied USD million","Amount Partially Untied USD million","Nature of Submission","Value"
"5","63","24030","19","30000","A","115","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017134852","201736677","Serbia","Europe","UMICs","30000","Public-Private Partnerships (PPP)","10","ODA","520","Shares in collective investment vehicles ","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","REGIONAL ENERGY EFFICIENCY FUND WESTERN BALKANS AND EUROPEAN NEIGHBORHOODS","Regional Energy Efficiency Fund Western Balkans and European Neighborhoods","24030","Formal sector financial intermediaries","II.4. Banking & Financial Services","Regional Energy Efficiency Fund Western Balkans and European Neighborhood Regions (GGF VI)","","0","2","0","0","","","","","0","2","0","0","16.909029","Current Prices (USD millions)",".000000","16.909000","","8","16.909029"
"5","63","24030","19","30000","A","115","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017137151","201736511","Serbia","Europe","UMICs","30000","Public-Private Partnerships (PPP)","10","ODA","520","Shares in collective investment vehicles ","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","GREEN FOR GROWTH FUND SOUTHEAST EUROPE","Green for Growth Fund Southeast Europe","24030","Formal sector financial intermediaries","II.4. Banking & Financial Services","the Fund strengthens the development of the market for efficiency of energy and renewable energies through investments in smallest, small and medium sized companies and private households","","0","2","0","0","0","","","","0","2","0","0","7.890880","Current Prices (USD millions)",".000000","7.890900","","8","7.89088"
"5","252","43040","11","50000","A","115","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017006995","201706019_0147","Madagascar","South of Sahara","LDCs","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","IMPROVEMENT OF THE LIVING CONDITIONS OF THE POPULATION LIVING AROUND THE NATIONAL PARK BEFOTAKA MIDOGNY AS CONTRIBUTION TO FOOD AND NUTRITION SECURITY","Improvement of the living conditions of the population living around the national park Befotaka Midogny as contribution to food and nutrition security","43040","Rural development","IV.2. Other Multisector","Improvement of the living conditions of the population living around the national park Befotaka Midogny as contribution to food and nutrition security and environmental protection in the South East","","1","1","0","","0","","","","0","0","1","0","2.029084","Current Prices (USD millions)",".000000","2.029100","","1","2.029084"
"5","289","43040","11","50000","A","115","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017007165","201706019_0317","South of Sahara, regional","South of Sahara","Part I unallocated by income","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","PILOT GLOBAL PROGRAMME - STRENGTHENING RESILIENCE OF AGROPASTORALIST COMMUNITIES, KENIA, UGANDA AND ETHIOPIA","Pilot global Programme - Strengthening Resilience of agropastoralist communities, Kenia, Uganda and Ethiopia","43040","Rural development","IV.2. Other Multisector","Pilot global Programme - Strengthening Resilience of agropastoralist communities, Kenia, Uganda and Ethiopia","","1","1","1","","0","","","","1","1","1","1","4.734528","Current Prices (USD millions)",".000000","4.734500","","1","4.734528"
"5","9998","41030","11","30000","A","115","B01","2017","Germany","Federal Min. for the Env., Nature Conservation and Nuclear Safety","2017011723","1701","Bilateral, unspecified","Regional and Unspecified","Part I unallocated by income","30000","International Union for the Conservation of Nature","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","MEMBERSHIP FEE FOR IUCN","Membership fee for IUCN","41030","Biodiversity","IV.1. General Environment Protection","Support of the activities of International Union for Conservation of Nature (IUCN)","","0","2","0","","0","","","","2","0","0","0",".015670","Current Prices (USD millions)",".000000",".015700","","8","0.01567"
"5","9998","12250","11","50000","A","115","B01","2017","Germany","Federal Ministry of Health","2017011707","","Bilateral, unspecified","Regional and Unspecified","Part I unallocated by income","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","BERNHARD NOCHT INSTITUTE FOR TROPICAL MEDICINE","Bernhard Nocht Institute for Tropical Medicine","12250","Infectious disease control","I.2.b. Basic Health","Research, health care and training in tropical medicine and emerging infections","","","","","","1","","","","","","","","9.302040","Current Prices (USD millions)",".000000","9.302000","","8","9.30204"
"5","9998","12250","11","50000","A","115","B01","2017","Germany","City State of Hamburg","2017013860","","Bilateral, unspecified","Regional and Unspecified","Part I unallocated by income","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","BERNHARD-NOCHT-INSTITUTE","Bernhard-Nocht-Institute","12250","Infectious disease control","I.2.b. Basic Health","Research, Health care and Training in tropical medicine and emerging infections","","","","","","0","","","","","","","","6.221813","Current Prices (USD millions)",".000000","6.221800","","8","6.221813"
"5","63","16010","11","20000","A","115","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017005607","201726157","Serbia","Europe","UMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","STRENGTHENING OF CIVIL SOCIETY THROUGH THE INTEGRATION OF MARGINALIZED PARTS OF SOCIETY AND THE SETTING UP OF SOCIAL STRUCTURES IN SERBIA","Strengthening of civil society through the integration of marginalized parts of society and the setting up of social structures in Serbia","16010","Social Protection","I.6. Other Social Infrastructure & Services","Setting up of self-help groups and establishment of social structuresto strengthen civil society in Serbia. Empowerment of women,home care services and the propagation of the service learningmethod.","","2","0","2","","0","","","","0","0","0","0",".643670","Current Prices (USD millions)",".000000",".643700","","1","0.64367"
"5","55","25010","11","20000","A","115","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017003396","201510270","Tnrkiye","Europe","UMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","GERMAN-TURKISH PARTNERSHIP FOR SKILLS DEVELOPMENT","German-Turkish Partnership for Skills Development","25010","Business policy and administration","II.5. Business & Other Services","Syrian refugees and disadvantaged turkish groups have vocational and entrepreneurial skills for the reconstruction of the Syrian economy, and integration into the Turkish labor market.","","0","0","0","2","0","","","","0","0","0","0","1.014542","Current Prices (USD millions)",".000000","1.014500","","3","1.014542"
"5","225","15150","11","20000","A","115","B01","2017","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2017005863","201731561","Angola","South of Sahara","LDCs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","STRENGTHENING CIVIC PARTICIPATION OF LOCAL GRASSROOT COMMUNITIES IN BAIRRO DA GRACA, BENGUELA","Strengthening civic participation of local grassroot communities in Bairro da Graca, Benguela","15150","Democratic participation and civil society","I.5.a. Government & Civil Society-general","Strengthening civic participation of local grassroot communities in Bairro da Graca, Benguela","","1","0","2","","0","","","","0","0","0","0",".067636","Current Prices (USD millions)",".000000",".067600","","1","0.067636"
