"DONOR","RECIPIENT","SECTOR","FLOW","CHANNEL","AMOUNTTYPE","FLOWTYPE","AIDTYPE","YEAR","Donor Name","Donor Agency","OECD ID","Donor Project ID","Recipient Name","Region","Income Group","Channel of Delivery Code","Channel of Delivery Name","Category Code","Category Name","FinanceType Code","FinanceType Name","BiMulti Code","Type of Aid Code","Type of Aid Name","Short Description","Project title","Purpose Code","Purpose Name","Sector","Long Description","SDG Focus","Gender equality","Environment","PDGG","Trade Development","RMNCH","DRR","Nutrition","Disability","Biodiversity","Climate Mitigation","Climate Adaptation","Desertification","Amount","Amount Type","Amount Tied USD million","Amount Untied USD million","Amount Partially Untied USD million","Nature of Submission","Value"
"5","64","16020","11","50000","A","112","B01","2018","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2018006768","201706019_0003","Bosnia and Herzegovina","Europe","UMICs","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","SOCIOECONOMIC EMPOWERMENT OF MARGINALISED WOMEN AND THEIR FAMILIES IN BIH THROUGH ESTABLISHMENT OF THE MULTIETHNIC COOPERATIVE GREEN NETWORK.","Socioeconomic empowerment of marginalised women and their families in BIH through establishment of the multiethnic cooperative Green Network.","16020","Employment creation","I.6. Other Social Infrastructure & Services","Socioeconomic empowerment of marginalised women and their families in BIH through the establishment of the multiethnic cooperative Green Network.","","1","0","0","","0","","","","0","0","0","0",".117896","Current Prices (USD millions)",".000000",".000000","","3","0.117896"
"5","136","15160","11","50000","A","112","B01","2018","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2018007092","201806009_1061_15160","Morocco","North of Sahara","LMICs","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","EMPOWERMENT OF MIGRANTS IN MAROCCO","Empowerment of migrants in Marocco","15160","Human rights","I.5.a. Government & Civil Society-general","Empowerment of migrants in Marocco","","2","0","2","","0","","","","0","0","0","0",".064912","Current Prices (USD millions)",".000000",".321000","","1","0.064912"
"5","139","11230","11","50000","A","112","B01","2018","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2018006592","201606003_0011","Tunisia","North of Sahara","LMICs","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","ECONOMIC SUPPORT AND SOCIAL INTEGRATION OF DISADVANTAGED YOUTH IN TUNISIA.","Economic Support and Social Integration of Disadvantaged Youth in Tunisia.","11230","Basic life skills for adults","I.1.b. Basic Education","Economic Support and Social Integration of Disadvantaged Youth in Tunisia.","","1","0","1","","0","","","","0","0","0","0",".071109","Current Prices (USD millions)",".000000",".000000","","3","0.071109"
"5","139","15180","11","50000","A","112","B01","2018","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2018007094","201806009_1141_15180","Tunisia","North of Sahara","LMICs","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","STRENGTHENING WOMEN'S RIGHTS AND PROTECTING WOMEN, WHO HAVE BEEN VICTIMS OF VIOLENCE","Strengthening women's rights and protecting women, who have been victims of violence","15180","Ending violence against women and girls","I.5.a. Government & Civil Society-general","Strengthening women's rights and protecting women, who have been victims of violence","","2","0","2","","1","","","","0","0","0","0",".050766","Current Prices (USD millions)",".000000",".443100","","1","0.050766"
"5","228","31130","11","50000","A","112","B01","2018","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2018006753","201701127_0005","Burundi","South of Sahara","LDCs","50000","University, college or other teaching institution, research institute or think-tank","10","ODA","110","Standard grant","3","B01","Core support to NGOs, other private bodies, PPPs and research institutes","SEWOH - PROJECT TO IMPROVE THE FOOD SECURITY OF THE MOST VULNERABLE HOUSEHOLDS IN THE PROVINCES OF KAYANZA AND MURAMVYA","SEWOH - Project to improve the food security of the most vulnerable households in the provinces of Kayanza and Muramvya","31130","Agricultural land resources","III.1.a. Agriculture","SEWOH - Project to improve the food security of the most vulnerable households in the provinces of Kayanza and Muramvya","","0","0","1","0","1","","","","0","0","0","0",".531099","Current Prices (USD millions)",".000000",".000000","","3","0.531099"
"5","64","12110","11","20000","A","112","B01","2018","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2018004906","201739507","Bosnia and Herzegovina","Europe","UMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","EXTENSION OF THE RESIDENTIAL CARE HOME FOR THE ELDERLY AND IN NEED OF CARE IN BOSNIA HERZEGOVINA","Extension of the residential care home for the elderly and in need of care in Bosnia Herzegovina","12110","Health policy and administrative management","I.2.a. Health, General","Extension of the residential care home for the elderly and in need of care in Bosnia Herzegovina","","1","0","2","","0","","","","0","0","0","0",".453676","Current Prices (USD millions)",".000000",".000000","","3","0.453676"
"5","93","16010","11","20000","A","112","B01","2018","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2018004570","201730951","Moldova","Europe","UMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","MAINTENANCE AND RESTORATION OF FACILITIES FOR SOCIAL SERVICES IN THE REPUBLIC OF MOLDAVIA","Maintenance and restoration of facilities for social services in the republic of Moldavia","16010","Social Protection","I.6. Other Social Infrastructure & Services","Maintenance and restoration of facilities for social services in the republic of Moldavia","","1","0","1","","0","","","","0","0","0","0",".107872","Current Prices (USD millions)",".000000",".000000","","3","0.107872"
"5","85","15150","11","20000","A","112","B01","2018","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2018004423","201728286","Ukraine","Europe","LMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","IMPROVING ADMINISTRATION AND INSTITUION BUILDING IN THE UKRAINE","Improving administration and instituion building in the Ukraine","15150","Democratic participation and civil society","I.5.a. Government & Civil Society-general","Support to the complex transformation of Ukraine's political system by 1) strengthening state and societal competences in implementing decentralization, by 2) enhancing civic engagement in politics and 3) strengthening the rule of law through capacity building in police education and training.","","0","0","2","","0","","","","0","0","0","0",".852118","Current Prices (USD millions)",".000000",".000000","","3","0.852118"
"5","85","15150","11","20000","A","112","B01","2018","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2018003713","201632785","Ukraine","Europe","LMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","ENHANCING THE TEACHING CAPACITY OF UCU / LEMBERG WITH FOCUS ON PUBLIC RESPONSIBILITY AND GOOD GOVERNANCE, UKRAINE","Enhancing the teaching capacity of UCU / Lemberg with focus on public responsibility and good governance, Ukraine","15150","Democratic participation and civil society","I.5.a. Government & Civil Society-general","Enhancing the teaching capacity of UCU / Lemberg with focus on public responsibility and good governance, Ukraine","","1","0","2","","0","","","","0","0","0","0",".299776","Current Prices (USD millions)",".000000",".000000","","3","0.299776"
"5","85","15150","11","20000","A","112","B01","2018","Germany","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2018003804","201633841","Ukraine","Europe","LMICs","20000","Donor country-based NGO","10","ODA","110","Standard grant","7","B01","Core support to NGOs, other private bodies, PPPs and research institutes","SOCIO-POLITICAL AND ETHICAL EDUCATION TO ENHANCE CIVIC PARTICIPATION AND DEMOCRATIC RENEWAL IN UKRAINE","Socio-political and ethical Education to enhance civic participation and democratic renewal in Ukraine","15150","Democratic participation and civil society","I.5.a. Government & Civil Society-general","Socio-political and ethical Education to enhance civic participation and democratic renewal in Ukraine","","1","0","2","","0","","","","0","0","0","0",".050749","Current Prices (USD millions)",".000000",".000000","","3","0.050749"
